iter	Logloss
0	0.656186868
1	0.6265729745
2	0.603593371
3	0.585311588
4	0.5709071363
5	0.5601779732
6	0.5515704098
7	0.5442779413
8	0.538110591
9	0.5335777568
10	0.5295782003
11	0.5263481427
12	0.5237173975
13	0.5216496154
14	0.5198363303
15	0.5183205558
16	0.517033026
17	0.5159977213
18	0.5151334108
19	0.5143014109
20	0.5136096091
21	0.5129261374
22	0.5123672132
23	0.5117532095
24	0.511254262
25	0.510795198
26	0.5104596214
27	0.5101616564
28	0.5098775244
29	0.5096091943
30	0.5092890157
31	0.5090619828
32	0.5081992878
33	0.5079884102
34	0.5077306821
35	0.5074560918
36	0.5072607637
37	0.5070049035
38	0.5067672686
39	0.5065352376
40	0.506374593
41	0.5062356571
42	0.5060604222
43	0.5058773115
44	0.5056549232
45	0.5055538514
46	0.5053882087
47	0.5052811291
48	0.5043944535
49	0.5043053468
50	0.5041829701
51	0.5039295837
52	0.5037803488
53	0.5036205119
54	0.5034743061
55	0.5033319877
56	0.5031245431
57	0.5029612732
58	0.5028784266
59	0.5027779102
60	0.5026563413
61	0.5025076112
62	0.5024029549
63	0.5018911336
64	0.5017175142
65	0.5015237512
66	0.5011105784
67	0.5010376775
68	0.5006229397
69	0.5005253009
70	0.5003178563
71	0.5001825048
72	0.4999754641
73	0.4998450097
74	0.4997109204
75	0.499487169
76	0.4993826137
77	0.4991332157
78	0.4990307303
79	0.4989208235
80	0.4987863808
81	0.4987278682
82	0.4985584896
83	0.4983957751
84	0.4982088275
85	0.4980535343
86	0.4979972936
87	0.4977214917
88	0.4975987111
89	0.4975013752
90	0.4973677908
91	0.4972962024
92	0.4972267345
93	0.4967496977
94	0.4966978996
95	0.4966269676
96	0.4964809638
97	0.4961531619
98	0.4960566842
99	0.4959875192
100	0.4958848823
101	0.4956184707
102	0.4955092203
103	0.4954085523
104	0.4953205057
105	0.495231298
106	0.4951921213
107	0.494675302
108	0.4945463622
109	0.494420603
110	0.4943109991
111	0.494221337
112	0.4941442458
113	0.4939886497
114	0.4938577914
115	0.4935048983
116	0.4934312905
117	0.4933231003
118	0.493275543
119	0.4929737411
120	0.4928910965
121	0.4928333411
122	0.4927891159
123	0.4926267043
124	0.4924810033
125	0.4923775587
126	0.4923143509
127	0.4922322112
128	0.492161885
129	0.4919982617
130	0.491879217
131	0.491801419
132	0.4917351316
133	0.4916980753
134	0.4915788288
135	0.4915305142
136	0.4914594307
137	0.49138759
138	0.4912573376
139	0.4911931201
140	0.4911023473
141	0.4909746696
142	0.4909182269
143	0.4908377532
144	0.4907836328
145	0.4907186076
146	0.4898603048
147	0.4896056058
148	0.4895611282
149	0.4895108447
150	0.4894739398
151	0.4894204253
152	0.4893409612
153	0.4892340836
154	0.4891483593
155	0.4888609458
156	0.4888068254
157	0.4887286235
158	0.4886535011
159	0.4883776993
160	0.4883192371
161	0.4882632993
162	0.488220841
163	0.4881581381
164	0.4880924566
165	0.4879670003
166	0.4879154547
167	0.4878174625
168	0.4877162392
169	0.4876576761
170	0.4875605926
171	0.4874580062
172	0.4873703635
173	0.4872712101
174	0.4871998237
175	0.4871436839
176	0.4870369073
177	0.4868897422
178	0.4867886199
179	0.4866325695
180	0.486558053
181	0.4864495093
182	0.4863927637
183	0.4863498511
184	0.4861628026
185	0.4861009074
186	0.4860602162
187	0.4860119521
188	0.485894624
189	0.4858315172
190	0.4857704298
191	0.4856813735
192	0.4856281619
193	0.4852077697
194	0.4851478435
195	0.4850637853
196	0.4850059795
197	0.4849560999
198	0.484612799
199	0.4845461582
