iter	Passed	Remaining
0	125	62725
1	252	62899
2	405	67201
3	530	65759
4	655	64845
5	780	64220
6	921	64908
7	1046	64385
8	1168	63720
9	1292	63334
10	1417	63031
11	1545	62832
12	1666	62419
13	1790	62157
14	1914	61915
15	2057	62235
16	2182	62002
17	2303	61670
18	2427	61454
19	2556	61345
20	2680	61135
21	2801	60866
22	2923	60622
23	3043	60369
24	3183	60494
25	3313	60415
26	3435	60176
27	3555	59937
28	3699	60092
29	3821	59874
30	3946	59709
31	4068	59497
32	4215	59658
33	4339	59480
34	4460	59266
35	4582	59056
36	4713	58988
37	4842	58874
38	4962	58658
39	5086	58499
40	5208	58309
41	5361	58465
42	5482	58271
43	5603	58070
44	5725	57886
45	5846	57702
46	5968	57530
47	6090	57348
48	6214	57200
49	6343	57090
50	6477	57027
51	6598	56845
52	6719	56675
53	6844	56531
54	6973	56418
55	7094	56251
56	7215	56082
57	7336	55907
58	7466	55809
59	7588	55650
60	7710	55491
61	7831	55324
62	7951	55158
63	8090	55113
64	8215	54979
65	8338	54832
66	8460	54676
67	8584	54537
68	8706	54382
69	8830	54243
70	8951	54087
71	9094	54062
72	9217	53916
73	9343	53785
74	9465	53640
75	9586	53479
76	9713	53361
77	9837	53223
78	9962	53090
79	10085	52946
80	10237	52957
81	10358	52803
82	10478	52646
83	10600	52499
84	10734	52410
85	10854	52251
86	10975	52102
87	11096	51952
88	11217	51804
89	11360	51754
90	11480	51601
91	11604	51462
92	11728	51326
93	11874	51288
94	11999	51153
95	12118	50999
96	12241	50859
97	12369	50739
98	12494	50607
99	12618	50475
100	12742	50340
101	12866	50203
102	13021	50189
103	13146	50056
104	13264	49899
105	13385	49755
106	13526	49683
107	13646	49531
108	13769	49392
109	13891	49251
110	14028	49161
111	14150	49022
112	14270	48872
113	14390	48726
114	14511	48581
115	14651	48500
116	14772	48358
117	14897	48227
118	15018	48085
119	15165	48024
120	15285	47877
121	15410	47746
122	15531	47604
123	15661	47490
124	15780	47340
125	15902	47203
126	16021	47055
127	16145	46922
128	16285	46837
129	16409	46704
130	16529	46559
131	16646	46409
132	16774	46288
133	16898	46156
134	17019	46015
135	17143	45884
136	17264	45744
137	17382	45596
138	17504	45462
139	17624	45319
140	17742	45174
141	17891	45107
142	18014	44974
143	18133	44830
144	18256	44696
145	18386	44580
146	18506	44440
147	18627	44303
148	18746	44161
149	18871	44032
150	19007	43930
151	19129	43797
152	19250	43660
153	19374	43529
154	19503	43411
155	19623	43272
156	19748	43144
157	19867	43003
158	19998	42889
159	20120	42756
160	20243	42625
161	20363	42486
162	20483	42349
163	20624	42255
164	20746	42120
165	20865	41983
166	20985	41845
167	21116	41730
168	21239	41599
169	21363	41470
170	21487	41341
171	21629	41246
172	21748	41109
173	21866	40968
174	21986	40832
175	22109	40700
176	22251	40605
177	22370	40468
178	22492	40335
179	22614	40204
180	22748	40092
181	22866	39953
182	22985	39817
183	23105	39681
184	23226	39547
185	23371	39454
186	23491	39319
187	23615	39191
188	23738	39061
189	23871	38947
190	23992	38814
191	24115	38684
192	24233	38548
193	24377	38450
194	24492	38309
195	24615	38178
196	24734	38043
197	24857	37914
198	25003	37819
199	25125	37687
200	25248	37558
201	25368	37424
202	25501	37310
203	25618	37172
204	25734	37032
205	25849	36892
206	25989	36787
207	26111	36656
208	26233	36526
209	26353	36392
210	26473	36259
211	26612	36153
212	26731	36018
213	26854	35889
214	26978	35761
215	27127	35668
216	27246	35532
217	27369	35403
218	27489	35272
219	27632	35168
220	27752	35035
221	27875	34906
222	27990	34768
223	28108	34633
224	28238	34514
225	28357	34380
226	28480	34252
227	28604	34124
228	28740	34012
229	28856	33875
230	28974	33740
231	29088	33602
232	29207	33469
233	29357	33371
234	29474	33237
235	29593	33104
236	29715	32975
237	29852	32862
238	29969	32727
239	30089	32597
240	30208	32464
241	30342	32349
242	30459	32214
243	30579	32083
244	30699	31952
245	30814	31816
246	30966	31719
247	31085	31586
248	31204	31455
249	31318	31318
250	31450	31199
251	31569	31068
252	31687	30936
253	31801	30799
254	31920	30668
255	32051	30549
256	32171	30419
257	32290	30287
258	32413	30161
259	32547	30043
260	32660	29907
261	32777	29774
262	32896	29644
263	33018	29516
264	33160	29406
265	33276	29272
266	33398	29145
267	33521	29019
268	33657	28902
269	33776	28772
270	33893	28640
271	34018	28515
272	34151	28397
273	34268	28265
274	34387	28135
275	34501	28001
276	34621	27871
277	34748	27749
278	34870	27621
279	34986	27489
280	35099	27354
281	35239	27241
282	35357	27111
283	35475	26981
284	35591	26850
285	35708	26719
286	35837	26597
287	35962	26472
288	36083	26344
289	36201	26214
290	36358	26113
291	36473	25980
292	36588	25849
293	36702	25716
294	36824	25590
295	36947	25463
296	37068	25336
297	37184	25205
298	37304	25077
299	37445	24963
300	37565	24835
301	37682	24706
302	37799	24576
303	37918	24447
304	38047	24325
305	38162	24194
306	38280	24065
307	38398	23936
308	38534	23819
309	38658	23693
310	38775	23564
311	38892	23435
312	39010	23306
313	39147	23189
314	39261	23058
315	39380	22930
316	39507	22806
317	39645	22689
318	39758	22559
319	39874	22429
320	40001	22305
321	40138	22188
322	40259	22061
323	40375	21932
324	40490	21802
325	40603	21671
326	40739	21553
327	40855	21424
328	40975	21297
329	41094	21169
330	41228	21050
331	41346	20922
332	41464	20794
333	41586	20668
334	41736	20556
335	41865	20434
336	41992	20311
337	42108	20182
338	42227	20054
339	42377	19942
340	42498	19815
341	42609	19685
342	42723	19555
343	42867	19439
344	42990	19314
345	43121	19192
346	43240	19065
347	43358	18937
348	43487	18815
349	43595	18683
350	43718	18558
351	43835	18430
352	43963	18307
353	44085	18181
354	44203	18054
355	44322	17928
356	44440	17800
357	44583	17683
358	44700	17556
359	44814	17428
360	44932	17300
361	45087	17187
362	45202	17059
363	45315	16930
364	45429	16802
365	45562	16681
366	45696	16560
367	45813	16433
368	45932	16306
369	46052	16180
370	46190	16060
371	46300	15931
372	46417	15804
373	46531	15676
374	46659	15553
375	46786	15429
376	46899	15301
377	47016	15174
378	47129	15046
379	47262	14924
380	47379	14798
381	47493	14670
382	47614	14545
383	47747	14423
384	47874	14300
385	47993	14174
386	48122	14051
387	48263	13931
388	48396	13809
389	48520	13685
390	48643	13560
391	48758	13433
392	48892	13311
393	49012	13186
394	49148	13064
395	49263	12937
396	49382	12812
397	49512	12689
398	49631	12563
399	49745	12436
400	49862	12310
401	50008	12191
402	50122	12064
403	50241	11938
404	50358	11812
405	50507	11693
406	50624	11567
407	50737	11440
408	50851	11314
409	50970	11188
410	51094	11064
411	51210	10938
412	51331	10813
413	51441	10686
414	51595	10567
415	51718	10443
416	51831	10316
417	51941	10189
418	52055	10063
419	52195	9942
420	52307	9815
421	52423	9689
422	52537	9563
423	52677	9442
424	52790	9315
425	52903	9189
426	53017	9063
427	53134	8938
428	53260	8814
429	53384	8690
430	53506	8565
431	53625	8441
432	53749	8316
433	53884	8194
434	53999	8068
435	54112	7943
436	54224	7817
437	54344	7692
438	54466	7568
439	54583	7443
440	54700	7318
441	54825	7194
442	54959	7071
443	55073	6946
444	55173	6819
445	55294	6694
446	55446	6574
447	55564	6449
448	55680	6324
449	55807	6200
450	55940	6077
451	56072	5954
452	56192	5830
453	56305	5704
454	56423	5580
455	56561	5457
456	56683	5333
457	56804	5209
458	56929	5085
459	57079	4963
460	57194	4838
461	57304	4713
462	57416	4588
463	57525	4463
464	57653	4339
465	57779	4215
466	57889	4090
467	58007	3966
468	58138	3842
469	58262	3718
470	58373	3594
471	58492	3469
472	58615	3345
473	58749	3222
474	58877	3098
475	58991	2974
476	59110	2850
477	59247	2726
478	59361	2602
479	59481	2478
480	59595	2354
481	59714	2229
482	59844	2106
483	59974	1982
484	60084	1858
485	60201	1734
486	60351	1611
487	60467	1486
488	60581	1362
489	60695	1238
490	60819	1114
491	60962	991
492	61080	867
493	61200	743
494	61337	619
495	61482	495
496	61598	371
497	61696	247
498	61814	123
499	61947	0
