2022-11-18 09:01:05,073 INFO    MainThread:12544 [wandb_setup.py:_flush():68] Configure stats pid to 12544
2022-11-18 09:01:05,074 INFO    MainThread:12544 [wandb_setup.py:_flush():68] Loading settings from /opt/ml/.config/wandb/settings
2022-11-18 09:01:05,074 INFO    MainThread:12544 [wandb_setup.py:_flush():68] Loading settings from /opt/ml/input/code/lightgcn/wandb/settings
2022-11-18 09:01:05,074 INFO    MainThread:12544 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-18 09:01:05,074 INFO    MainThread:12544 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'lightgcn/train.py', 'program': '/opt/ml/input/code/lightgcn/train.py'}
2022-11-18 09:01:05,074 INFO    MainThread:12544 [wandb_init.py:_log_setup():476] Logging user logs to /opt/ml/input/code/lightgcn/wandb/run-20221118_090105-11nh1rb3/logs/debug.log
2022-11-18 09:01:05,074 INFO    MainThread:12544 [wandb_init.py:_log_setup():477] Logging internal logs to /opt/ml/input/code/lightgcn/wandb/run-20221118_090105-11nh1rb3/logs/debug-internal.log
2022-11-18 09:01:05,074 INFO    MainThread:12544 [wandb_init.py:init():516] calling init triggers
2022-11-18 09:01:05,075 INFO    MainThread:12544 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'alpha': None, 'basepath': '/opt/ml/input/data/', 'build_kwargs': {}, 'embedding_dim': 64, 'learning_rate': 0.001, 'loader_verbose': True, 'n_epoch': 500, 'num_layers': 1, 'output_dir': './output/', 'pred_file': 'submission.csv', 'use_cuda_if_available': True, 'user_wandb': True, 'wandb_kwargs': {'project': 'dkt-gcn'}, 'weight': './weight/best_model.pt', 'weight_basepath': './weight'}
2022-11-18 09:01:05,075 INFO    MainThread:12544 [wandb_init.py:init():569] starting backend
2022-11-18 09:01:05,075 INFO    MainThread:12544 [wandb_init.py:init():573] setting up manager
2022-11-18 09:01:05,077 INFO    MainThread:12544 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-18 09:01:05,079 INFO    MainThread:12544 [wandb_init.py:init():580] backend started and connected
2022-11-18 09:01:05,082 INFO    MainThread:12544 [wandb_init.py:init():658] updated telemetry
2022-11-18 09:01:05,086 INFO    MainThread:12544 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-18 09:01:05,547 INFO    MainThread:12544 [wandb_run.py:_on_init():2000] communicating current version
2022-11-18 09:01:05,609 INFO    MainThread:12544 [wandb_run.py:_on_init():2004] got version response 
2022-11-18 09:01:05,609 INFO    MainThread:12544 [wandb_init.py:init():728] starting run threads in backend
2022-11-18 09:01:10,624 INFO    MainThread:12544 [wandb_run.py:_console_start():1980] atexit reg
2022-11-18 09:01:10,624 INFO    MainThread:12544 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-18 09:01:10,625 INFO    MainThread:12544 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-18 09:01:10,625 INFO    MainThread:12544 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-18 09:01:10,625 INFO    MainThread:12544 [wandb_init.py:init():765] run started, returning control to user process
